"so2","no2","co","o3","pm25"
"10","43","1","55","101"
"12","53","1","52","54"
"13","25","1","15","12"
"8","21","1","23","8"
"11","39","1","25","36"
"17","59","2","68","93"
"18","59","1","56","35"
"12","68","1","30","57"
"17","77","1","33","54"
"4","24","1","72","11"
"10","43","1","55","101"
"12","53","1","52","54"
"13","25","1","15","12"
"8","21","1","23","8"
"11","39","1","25","36"
"17","59","2","68","93"
"18","59","1","56","35"
"12","68","1","30","57"
"17","77","1","33","54"
"4","24","1","72","11"
"10","43","1","55","101"
"12","53","1","52","54"
"13","25","1","15","12"
"8","21","1","23","8"
"11","39","1","25","36"
"17","59","2","68","93"
"18","59","1","56","35"
"12","68","1","30","57"
"17","77","1","33","54"
"4","24","1","72","11"
"14","41","2","94","116"
"12","57","1","61","56"
"13","25","1","15","12"
"8","21","1","23","8"
"11","39","1","25","36"
"17","59","2","68","93"
"21","41","1","95","36"
"14","71","1","52","51"
"16","54","1","106","46"
"4","24","1","72","11"
"15","40","2","125","117"
"15","40","2","125","117"
"11","52","1","81","57"
"9","23","1","63","15"
"15","40","2","125","117"
"11","52","1","81","57"
"15","40","2","125","117"
"11","52","1","81","57"
"9","23","1","63","15"
"11","52","1","81","57"
"9","23","1","63","15"
"9","23","1","63","15"
"15","40","2","125","117"
"11","52","1","81","57"
"9","23","1","63","15"
"15","40","2","125","117"
"11","52","1","81","57"
"9","23","1","63","15"
"15","40","2","125","117"
"11","52","1","81","57"
"9","23","1","63","15"
"15","40","2","125","117"
"11","52","1","81","57"
"9","23","1","63","15"
"8","18","1","40","10"
"7","37","1","48","34"
"13","38","1","182","87"
"19","38","1","112","37"
"14","63","1","68","51"
"15","47","1","148","47"
"5","28","1","93","17"
"15","40","2","125","117"
"11","52","1","81","57"
"9","23","1","63","15"
"8","18","1","40","10"
"15","40","2","125","117"
"7","37","1","48","34"
"11","52","1","81","57"
"13","38","1","182","87"
"19","38","1","112","37"
"14","63","1","68","51"
"15","47","1","148","47"
"5","28","1","93","17"
"9","23","1","63","15"
"8","18","1","40","10"
"7","37","1","48","34"
"13","38","1","182","87"
"19","38","1","112","37"
"14","63","1","68","51"
"15","47","1","148","47"
"5","28","1","93","17"
"12","41","2","146","123"
"10","37","1","116","58"
"10","22","1","96","15"
"8","17","1","49","10"
"7","32","1","67","33"
"12","29","1","222","78"
"17","27","1","134","37"
"14","59","1","86","49"
"14","35","1","186","44"
"5","24","1","117","21"
"12","41","2","146","123"
"10","37","1","116","58"
"10","22","1","96","15"
"8","17","1","49","10"
"7","32","1","67","33"
"12","29","1","222","78"
"17","27","1","134","37"
"14","59","1","86","49"
"14","35","1","186","44"
"5","24","1","117","21"
"10","43","1","148","124"
"10","28","1","140","54"
"9","20","1","115","15"
"10","18","1","52","10"
"7","27","1","94","29"
"9","22","1","238","67"
"14","21","1","155","34"
"16","52","1","104","50"
"12","23","1","214","40"
"5","22","1","139","29"
"10","43","1","148","124"
"10","28","1","140","54"
"9","20","1","115","15"
"10","18","1","52","10"
"7","27","1","94","29"
"9","22","1","238","67"
"14","21","1","155","34"
"16","52","1","104","50"
"12","23","1","214","40"
"5","22","1","139","29"
"10","45","1","168","130"
"9","50","1","158","48"
"8","19","0","116","14"
"8","14","0","51","10"
"6","21","1","120","24"
"7","19","1","243","64"
"12","19","1","163","35"
"12","31","1","135","47"
"11","18","1","214","36"
"4","21","1","158","35"
"10","45","1","168","130"
"9","50","1","158","48"
"8","19","0","116","14"
"8","14","0","51","10"
"6","21","1","120","24"
"7","19","1","243","64"
"12","19","1","163","35"
"12","36","2","236","128"
"8","28","1","154","46"
"8","19","1","115","14"
"8","17","1","50","10"
"6","21","1","120","24"
"7","19","1","243","64"
"12","29","1","160","40"
"9","31","1","140","35"
"11","18","1","214","36"
"4","21","1","158","35"
"12","36","2","236","128"
"8","28","1","154","46"
"8","19","1","115","14"
"8","17","1","50","10"
"7","17","1","127","21"
"21","20","1","241","63"
"12","29","1","160","40"
"9","31","1","140","35"
"9","18","1","211","34"
"4","23","1","169","38"
"11","34","1","261","117"
"8","28","1","146","43"
"8","21","1","118","14"
"8","18","1","48","10"
"7","17","1","127","21"
"4","21","1","232","58"
"10","39","1","135","47"
"9","31","1","140","35"
"9","18","1","211","34"
"4","23","1","169","38"
"11","34","1","261","117"
"8","28","1","146","43"
"8","21","1","118","14"
"8","18","1","48","10"
"6","20","1","114","23"
"4","21","1","232","58"
"10","39","1","135","47"
"10","35","1","142","39"
"9","19","1","212","35"
"4","20","1","184","39"
"11","32","1","284","116"
"8","30","1","141","37"
"10","29","1","112","15"
"8","20","1","50","11"
"6","22","1","106","19"
"5","23","1","239","58"
"10","39","1","135","47"
"10","35","1","142","39"
"9","19","1","180","35"
"4","20","1","184","39"
